Country Name,Capitol City,Population,GDP,Area,Happiness Index,GDPPC,APC
Malawi,Lilongwe,19129952,12182348213,118484,3.495,636.8206367,0.006193638
Mauritania,Nouakchott,4649658,7913680231,1030700,4.724,1701.991895,0.221672218
Ghana,Accra,31072940,68532281806,238533,4.605,2205.529371,0.007676551
Iraq,Baghdad,40222493,1.67E+11,438317,4.941,4151.905751,0.010897311
Denmark,Copenhagen,5792202,3.56E+11,43094,7.586,61461.94487,0.007440003
Botswana,Gaborone,2351627,15061922802,582000,3.435,6404.894485,0.247488228
Lithuania,Vilnius,2722289,56546957475,65300,6.763,20771.84218,0.023987167
Saudi Arabia,Riyadh,34813871,7.00E+11,2149690,6.463,20106.92807,0.061748089
Chile,Santiago,19116201,2.53E+11,756102,6.334,13234.84724,0.039552943
Sierra Leone,Freetown,7976983,4063289450,71740,3.138,509.3767218,0.008993375
Benin,Porto-Novo,12123200,15651545332,112622,4.374,1291.040759,0.009289791
Canada,Ottawa,37742154,1.65E+12,9984670,6.961,43717.6956,0.264549554
Montenegro,Podgorica,628066,4769860741,13812,5.722,7594.521501,0.021991319
Italy,Rome,60461826,1.89E+12,301336,6.405,31259.39332,0.004983905
Zambia,Lusaka,18383955,18110631358,752612,3.982,985.1324896,0.040938525
Israel,Jerusalem,8655535,4.07E+11,20770,7.473,47021.93452,0.002399621
Democratic Republic of the Congo,Kinshasa,89561403,48716960860,2344858,3.207,543.9503986,0.026181568
South Korea,Seoul,51269185,1.64E+12,100210,5.951,31988.02556,0.001954585
Turkey,Ankara,84339067,7.20E+11,783562,4.614,8536.968994,0.009290617
Cyprus,Nicosia,1207359,24612646488,9251,6.13,20385.52451,0.007662178
Vietnam,Hanoi,97338579,2.71E+11,331212,5.763,2784.09653,0.00340268
Morocco,Rabat,36910560,1.15E+11,446550,4.903,3115.639535,0.012098164
Czech Republic,Prague,10708981,2.45E+11,78865,6.845,22877.99371,0.007364379
Pakistan,Islamabad,220892340,2.63E+11,881912,4.555,1190.625261,0.003992497
Bahrain,Manama,1701575,34729228723,765,6.173,20410.04876,0.000449583
Estonia,Tallinn,1326535,30650285472,45227,6.455,23105.52339,0.034094087
Jordan,Amman,10203134,43697659296,89342,4.12,4282.768343,0.008756329
Sri Lanka,Colombo,21413249,80676681934,65610,4.442,3767.605838,0.003063991
Malaysia,Kuala Lumpur,32365999,3.37E+11,330803,6.012,10412.16123,0.010220695
El Salvador,San Salvador,6486205,24638720000,21041,6.122,3798.634178,0.003243962
Tunisia,Tunis,11818619,41620349986,163610,4.497,3521.59165,0.013843411
Bulgaria,Sofia,6948445,69889347433,110879,5.466,10058.27166,0.015957383
Armenia,Yerevan,2963243,12641209802,29743,5.342,4266.005117,0.010037314
Croatia,Zagreb,4105267,57203783203,56594,6.125,13934.24184,0.013785705
Mali,Bamako,20250833,17465392916,1240192,4.198,862.4530614,0.06124153
Namibia,Windhoek,2540905,10619194505,825615,4.631,4179.296158,0.324929503
Nigeria,Abuja,206139589,4.32E+11,923768,4.981,2095.66732,0.004481274
Algeria,Algiers,43851044,1.45E+11,2381741,5.329,3306.648754,0.054314351
Egypt,Cairo,102334404,3.65E+11,1002450,4.17,3566.737927,0.009795826
Burkina Faso,Ouagadougou,20903273,17933606353,272967,4.638,857.9329349,0.013058577
